pedido_id,data_pedido,cliente_id,produto_id,produto,categoria,marca,quantidade,preco_unitario,desconto,frete,valor_total,canal_venda,forma_pagamento,cidade,estado,status_pedido
16,2025-05-16,1192,102,Notebook Air 13,Notebook,TechMax,1,3624.2,0.0,38.54,3662.74,Site,Boleto,Curitiba,PR,Entregue
17,2025-08-19,1010,109,Smartphone S12,Smartphone,MobiOne,2,2523.72,0.0,30.24,5077.68,Site,Pix,São Paulo,SP,Entregue
18,2025-05-15,1450,105,Monitor 24 Full HD,Monitores,ViewTop,1,1025.63,0.0,5.78,1031.41,App,Cartão de Crédito,Belo Horizonte,MG,Entregue
19,2025-03-03,1393,102,Notebook Air 13,Notebook,TechMax,1,3569.72,0.0,3.17,3572.89,Site,Cartão de Crédito,Recife,PE,Cancelado
20,2025-12-26,1271,111,Tablet T10,Tablet,MobiOne,1,1534.45,76.72,36.41,1494.14,App,Pix,Recife,PE,Entregue
21,2025-05-11,1205,104,Teclado Mecânico K80,Periféricos,ClickGo,1,358.01,0.0,5.97,363.98,App,Boleto,Goiânia,GO,Entregue
22,2025-09-12,1127,106,Monitor 27 QHD,Monitores,ViewTop,4,1511.05,0.0,36.01,6080.21,Site,Cartão de Crédito,Recife,PE,Faturado
23,2025-03-04,1113,106,Monitor 27 QHD,Monitores,ViewTop,1,1599.27,47.98,5.38,1556.67,Site,Cartão de Crédito,São Paulo,SP,Cancelado
24,2025-04-06,1017,112,Webcam HD Pro,Acessórios,VisionCam,1,264.33,0.0,15.69,280.02,Marketplace,Cartão de Crédito,São Paulo,SP,Faturado
25,2025-01-29,1110,109,Smartphone S12,Smartphone,MobiOne,2,2306.15,230.62,26.94,4408.62,App,Cartão de Crédito,Belo Horizonte,MG,Entregue
26,2025-11-23,1402,112,Webcam HD Pro,Acessórios,VisionCam,4,265.51,31.86,47.05,1077.23,Marketplace,Pix,Florianópolis,SC,Entregue
27,2025-03-03,1182,104,Teclado Mecânico K80,Periféricos,ClickGo,1,335.85,0.0,31.16,367.01,Marketplace,Pix,Campinas,SP,Entregue
28,2025-10-11,1207,108,Caixa de Som Mini,Áudio,SoundBit,1,185.23,0.0,5.26,190.49,App,Pix,São Paulo,SP,Faturado
29,2025-05-08,1275,102,Notebook Air 13,Notebook,TechMax,1,3504.64,280.37,44.08,3268.35,Marketplace,Cartão de Crédito,Belo Horizonte,MG,Entregue
30,2025-08-19,1128,107,Headset Gamer H7,Áudio,SoundBit,2,287.19,0.0,6.09,580.47,Site,Pix,Rio de Janeiro,RJ,Entregue
31,2025-04-26,1429,109,Smartphone S12,Smartphone,MobiOne,1,2369.02,0.0,21.31,2390.33,Site,Cartão de Crédito,Campinas,SP,Cancelado
32,2025-12-25,1247,104,Teclado Mecânico K80,Periféricos,ClickGo,3,358.07,53.71,42.95,1063.45,Site,Pix,Rio de Janeiro,RJ,Entregue
33,2025-11-03,1200,101,Notebook Pro 14,Notebook,TechMax,3,4226.67,1014.4,11.08,11676.69,Marketplace,Pix,Rio de Janeiro,RJ,Faturado
34,2025-11-11,1098,105,Monitor 24 Full HD,Monitores,ViewTop,4,918.78,0.0,16.85,3691.97,Marketplace,Cartão de Crédito,Salvador,BA,Entregue
35,2025-11-14,1030,101,Notebook Pro 14,Notebook,TechMax,1,4245.14,0.0,20.15,4265.29,Site,Boleto,Florianópolis,SC,Entregue
36,2025-09-25,1261,108,Caixa de Som Mini,Áudio,SoundBit,1,170.79,0.0,12.67,183.46,Site,Cartão de Crédito,Goiânia,GO,Faturado
37,2025-03-22,1207,102,Notebook Air 13,Notebook,TechMax,1,3596.66,0.0,7.39,3604.05,Site,Boleto,Florianópolis,SC,Entregue
38,2025-05-10,1042,104,Teclado Mecânico K80,Periféricos,ClickGo,1,320.71,0.0,30.42,351.13,Marketplace,Boleto,Florianópolis,SC,Cancelado
39,2025-05-06,1105,110,Smartphone S12 Lite,Smartphone,MobiOne,2,1750.46,0.0,31.65,3532.57,App,Boleto,Florianópolis,SC,Entregue
40,2025-08-06,1068,106,Monitor 27 QHD,Monitores,ViewTop,2,1643.06,0.0,26.49,3312.61,App,Boleto,Belo Horizonte,MG,Entregue
41,2025-10-21,1005,105,Monitor 24 Full HD,Monitores,ViewTop,2,1036.0,0.0,12.08,2084.08,Marketplace,Boleto,Recife,PE,Faturado
42,2025-07-17,1110,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1857.3,92.86,31.55,1795.99,App,Pix,Campinas,SP,Cancelado
43,2025-07-06,1190,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,127.31,0.0,7.52,134.83,Marketplace,Cartão de Crédito,Porto Alegre,RS,Entregue
44,2025-09-16,1414,108,Caixa de Som Mini,Áudio,SoundBit,2,186.3,29.81,34.72,377.51,App,Boleto,Goiânia,GO,Cancelado
45,2025-05-27,1450,101,Notebook Pro 14,Notebook,TechMax,2,4558.39,0.0,35.49,9152.27,Site,Pix,Goiânia,GO,Faturado
46,2025-11-04,1145,102,Notebook Air 13,Notebook,TechMax,1,3757.25,112.72,32.19,3676.72,App,Cartão de Crédito,Campinas,SP,Entregue
47,2025-09-24,1259,112,Webcam HD Pro,Acessórios,VisionCam,1,258.13,0.0,41.8,299.93,Marketplace,Pix,Porto Alegre,RS,Entregue
48,2025-05-31,1023,101,Notebook Pro 14,Notebook,TechMax,3,4329.57,389.66,36.69,12635.74,Site,Pix,Campinas,SP,Entregue
49,2025-04-22,1283,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,131.23,3.94,8.73,136.02,App,Pix,Curitiba,PR,Entregue
50,2025-01-02,1354,109,Smartphone S12,Smartphone,MobiOne,1,2447.56,0.0,25.78,2473.34,Site,Boleto,São Paulo,SP,Faturado
51,2025-05-27,1066,101,Notebook Pro 14,Notebook,TechMax,1,4410.1,0.0,13.92,4424.02,Site,Pix,Porto Alegre,RS,Entregue
52,2025-02-23,1350,106,Monitor 27 QHD,Monitores,ViewTop,2,1662.57,0.0,42.73,3367.87,Site,Boleto,São Paulo,SP,Entregue
53,2025-04-14,1384,102,Notebook Air 13,Notebook,TechMax,3,3711.18,0.0,46.69,11180.23,Site,Cartão de Crédito,Porto Alegre,RS,Cancelado
54,2025-04-22,1092,103,Mouse Sem Fio X1,Periféricos,ClickGo,3,127.3,11.46,28.98,399.42,App,Pix,Rio de Janeiro,RJ,Faturado
55,2025-12-04,1404,107,Headset Gamer H7,Áudio,SoundBit,2,284.1,28.41,14.17,553.96,App,Cartão de Crédito,Belo Horizonte,MG,Entregue
56,2025-07-27,1103,107,Headset Gamer H7,Áudio,SoundBit,4,270.0,0.0,34.53,1114.53,Marketplace,Pix,São Paulo,SP,Entregue
57,2025-05-15,1338,105,Monitor 24 Full HD,Monitores,ViewTop,1,979.76,29.39,18.29,968.66,Site,Pix,Belo Horizonte,MG,Faturado
58,2025-02-02,1180,106,Monitor 27 QHD,Monitores,ViewTop,1,1618.38,0.0,32.81,1651.19,App,Boleto,Curitiba,PR,Entregue
59,2025-08-26,1060,107,Headset Gamer H7,Áudio,SoundBit,2,288.88,46.22,13.23,544.77,Marketplace,Cartão de Crédito,Goiânia,GO,Faturado
60,2025-12-31,1306,110,Smartphone S12 Lite,Smartphone,MobiOne,1,2063.97,165.12,48.55,1947.4,Marketplace,Pix,Curitiba,PR,Faturado
61,2025-10-13,1262,112,Webcam HD Pro,Acessórios,VisionCam,3,271.84,0.0,39.66,855.18,Site,Pix,Porto Alegre,RS,Cancelado
62,2025-11-13,1363,110,Smartphone S12 Lite,Smartphone,MobiOne,2,1787.34,0.0,28.79,3603.47,Marketplace,Cartão de Crédito,Belo Horizonte,MG,Faturado
63,2025-06-21,1221,109,Smartphone S12,Smartphone,MobiOne,1,2734.07,0.0,2.18,2736.25,Site,Boleto,Goiânia,GO,Entregue
64,2025-02-15,1369,106,Monitor 27 QHD,Monitores,ViewTop,2,1647.43,98.85,23.45,3219.46,Marketplace,Boleto,Florianópolis,SC,Faturado
65,2025-12-15,1357,105,Monitor 24 Full HD,Monitores,ViewTop,2,969.05,0.0,47.56,1985.66,Marketplace,Boleto,Salvador,BA,Entregue
66,2025-04-05,1347,103,Mouse Sem Fio X1,Periféricos,ClickGo,3,124.28,0.0,27.58,400.42,App,Cartão de Crédito,Belo Horizonte,MG,Entregue
67,2025-05-08,1281,110,Smartphone S12 Lite,Smartphone,MobiOne,2,1714.21,0.0,15.81,3444.23,Site,Pix,Florianópolis,SC,Entregue
68,2025-08-11,1311,105,Monitor 24 Full HD,Monitores,ViewTop,3,905.77,0.0,27.78,2745.09,App,Pix,Belo Horizonte,MG,Cancelado
69,2025-09-30,1262,108,Caixa de Som Mini,Áudio,SoundBit,4,179.1,0.0,14.74,731.14,Marketplace,Boleto,Recife,PE,Entregue
70,2025-09-03,1340,103,Mouse Sem Fio X1,Periféricos,ClickGo,2,128.34,0.0,6.82,263.5,App,Boleto,Campinas,SP,Cancelado
71,2025-01-13,1116,106,Monitor 27 QHD,Monitores,ViewTop,1,1536.34,0.0,40.42,1576.76,Site,Cartão de Crédito,Campinas,SP,Entregue
72,2025-11-09,1313,101,Notebook Pro 14,Notebook,TechMax,1,4003.06,120.09,25.52,3908.49,Site,Pix,São Paulo,SP,Entregue
73,2025-05-23,1254,107,Headset Gamer H7,Áudio,SoundBit,1,263.43,21.07,39.71,282.07,Marketplace,Cartão de Crédito,Florianópolis,SC,Entregue
74,2025-10-15,1113,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,122.97,3.69,28.89,148.17,Site,Boleto,São Paulo,SP,Entregue
75,2025-07-09,1128,109,Smartphone S12,Smartphone,MobiOne,1,2341.76,0.0,7.74,2349.5,Site,Pix,Recife,PE,Cancelado
76,2025-02-27,1314,103,Mouse Sem Fio X1,Periféricos,ClickGo,2,120.49,12.05,41.86,270.79,App,Boleto,Recife,PE,Entregue
77,2025-09-21,1381,107,Headset Gamer H7,Áudio,SoundBit,4,273.39,32.81,16.3,1077.05,Marketplace,Pix,Goiânia,GO,Entregue
78,2025-04-18,1249,105,Monitor 24 Full HD,Monitores,ViewTop,2,1033.36,103.34,13.55,1976.93,App,Cartão de Crédito,Belo Horizonte,MG,Cancelado
79,2025-12-16,1121,105,Monitor 24 Full HD,Monitores,ViewTop,1,944.21,47.21,9.7,906.7,Marketplace,Pix,Recife,PE,Entregue
80,2025-11-04,1078,106,Monitor 27 QHD,Monitores,ViewTop,1,1667.86,0.0,31.81,1699.67,Site,Pix,Goiânia,GO,Entregue
81,2025-08-17,1213,112,Webcam HD Pro,Acessórios,VisionCam,1,243.0,0.0,3.91,246.91,Marketplace,Pix,Rio de Janeiro,RJ,Faturado
82,2025-10-06,1106,109,Smartphone S12,Smartphone,MobiOne,3,2161.13,0.0,48.04,6531.43,Marketplace,Pix,Recife,PE,Faturado
83,2025-01-01,1004,110,Smartphone S12 Lite,Smartphone,MobiOne,3,1949.43,0.0,8.65,5856.94,Marketplace,Pix,São Paulo,SP,Entregue
84,2025-04-28,1113,107,Headset Gamer H7,Áudio,SoundBit,1,270.52,0.0,11.97,282.49,Marketplace,Pix,Salvador,BA,Entregue
85,2025-07-08,1343,108,Caixa de Som Mini,Áudio,SoundBit,3,198.98,29.85,31.85,598.94,App,Pix,São Paulo,SP,Entregue
86,2025-09-04,1319,112,Webcam HD Pro,Acessórios,VisionCam,4,276.46,55.29,30.52,1081.07,App,Cartão de Crédito,Rio de Janeiro,RJ,Entregue
87,2025-07-04,1330,107,Headset Gamer H7,Áudio,SoundBit,1,281.21,0.0,37.82,319.03,Marketplace,Cartão de Crédito,Florianópolis,SC,Faturado
88,2025-03-10,1195,108,Caixa de Som Mini,Áudio,SoundBit,1,184.37,9.22,5.79,180.94,Marketplace,Cartão de Crédito,Rio de Janeiro,RJ,Entregue
89,2025-07-23,1143,108,Caixa de Som Mini,Áudio,SoundBit,2,187.33,29.97,35.11,379.8,Marketplace,Pix,Porto Alegre,RS,Entregue
90,2025-12-07,1027,102,Notebook Air 13,Notebook,TechMax,1,3491.28,0.0,38.09,3529.37,Marketplace,Cartão de Crédito,Recife,PE,Cancelado
91,2025-09-07,1127,111,Tablet T10,Tablet,MobiOne,1,1356.12,108.49,32.42,1280.05,Site,Cartão de Crédito,Campinas,SP,Faturado
92,2025-04-10,1243,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1780.59,0.0,47.36,1827.95,App,Cartão de Crédito,Rio de Janeiro,RJ,Entregue
93,2025-04-06,1393,110,Smartphone S12 Lite,Smartphone,MobiOne,4,1778.51,0.0,46.58,7160.62,Marketplace,Cartão de Crédito,Belo Horizonte,MG,Entregue
94,2025-01-04,1160,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1748.32,0.0,26.91,1775.23,Site,Boleto,Florianópolis,SC,Entregue
95,2025-06-09,1367,101,Notebook Pro 14,Notebook,TechMax,3,4319.23,0.0,1.32,12959.01,Site,Cartão de Crédito,Curitiba,PR,Entregue
96,2025-06-27,1436,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1803.26,0.0,39.97,1843.23,App,Boleto,Belo Horizonte,MG,Entregue
97,2025-04-11,1273,102,Notebook Air 13,Notebook,TechMax,1,3413.81,170.69,27.23,3270.35,Marketplace,Boleto,Florianópolis,SC,Entregue
98,2025-06-17,1435,106,Monitor 27 QHD,Monitores,ViewTop,2,1666.85,100.01,19.27,3252.96,Marketplace,Pix,Campinas,SP,Faturado
99,2025-03-31,1363,102,Notebook Air 13,Notebook,TechMax,2,3512.44,351.24,42.16,6715.8,Site,Pix,Salvador,BA,Entregue
100,2025-04-15,1414,103,Mouse Sem Fio X1,Periféricos,ClickGo,2,121.25,19.4,40.64,263.74,App,Pix,Goiânia,GO,Cancelado
101,2025-08-05,1437,108,Caixa de Som Mini,Áudio,SoundBit,2,208.54,0.0,31.38,448.46,Site,Cartão de Crédito,Salvador,BA,Entregue
102,2025-06-13,1292,105,Monitor 24 Full HD,Monitores,ViewTop,1,978.04,48.9,48.28,977.42,App,Boleto,Recife,PE,Entregue
103,2025-02-05,1436,107,Headset Gamer H7,Áudio,SoundBit,1,287.72,0.0,49.43,337.15,Marketplace,Cartão de Crédito,Porto Alegre,RS,Entregue
104,2025-04-06,1175,108,Caixa de Som Mini,Áudio,SoundBit,2,183.25,0.0,12.48,378.98,Marketplace,Boleto,Belo Horizonte,MG,Entregue
105,2025-07-02,1098,112,Webcam HD Pro,Acessórios,VisionCam,1,267.11,13.36,11.91,265.66,Site,Cartão de Crédito,Curitiba,PR,Cancelado
106,2025-12-21,1389,112,Webcam HD Pro,Acessórios,VisionCam,4,257.37,51.47,36.92,1014.93,Site,Boleto,Salvador,BA,Cancelado
107,2025-01-19,1048,108,Caixa de Som Mini,Áudio,SoundBit,4,202.4,64.77,14.85,759.68,Marketplace,Cartão de Crédito,Recife,PE,Faturado
108,2025-08-21,1189,107,Headset Gamer H7,Áudio,SoundBit,2,280.29,0.0,2.67,563.25,Marketplace,Boleto,Belo Horizonte,MG,Cancelado
109,2025-02-21,1170,109,Smartphone S12,Smartphone,MobiOne,3,2350.65,211.56,47.41,6887.8,Marketplace,Boleto,Porto Alegre,RS,Cancelado
110,2025-05-24,1119,108,Caixa de Som Mini,Áudio,SoundBit,2,199.35,0.0,24.6,423.3,Site,Boleto,Curitiba,PR,Entregue
111,2025-02-22,1391,104,Teclado Mecânico K80,Periféricos,ClickGo,1,318.64,0.0,27.63,346.27,App,Cartão de Crédito,Porto Alegre,RS,Cancelado
112,2025-06-30,1371,104,Teclado Mecânico K80,Periféricos,ClickGo,4,342.18,0.0,5.66,1374.38,App,Boleto,Belo Horizonte,MG,Entregue
113,2025-08-03,1152,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1727.43,0.0,22.03,1749.46,Site,Pix,Curitiba,PR,Entregue
114,2025-05-26,1065,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,119.95,6.0,17.51,131.46,Marketplace,Cartão de Crédito,Curitiba,PR,Cancelado
115,2025-05-21,1327,101,Notebook Pro 14,Notebook,TechMax,2,4218.92,675.03,4.2,7767.01,Marketplace,Cartão de Crédito,Goiânia,GO,Entregue
116,2025-10-10,1246,101,Notebook Pro 14,Notebook,TechMax,2,4217.37,0.0,19.79,8454.53,Marketplace,Pix,Florianópolis,SC,Entregue
117,2025-05-16,1059,103,Mouse Sem Fio X1,Periféricos,ClickGo,2,117.17,11.72,11.64,234.26,Site,Pix,São Paulo,SP,Entregue
118,2025-05-25,1077,108,Caixa de Som Mini,Áudio,SoundBit,1,192.2,9.61,18.5,201.09,App,Pix,Campinas,SP,Entregue
119,2025-07-01,1392,102,Notebook Air 13,Notebook,TechMax,1,3480.44,0.0,38.78,3519.22,Marketplace,Boleto,Belo Horizonte,MG,Cancelado
120,2025-01-19,1195,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1911.73,0.0,12.41,1924.14,Marketplace,Pix,Florianópolis,SC,Cancelado
121,2025-05-06,1292,105,Monitor 24 Full HD,Monitores,ViewTop,3,979.07,146.86,20.22,2810.57,App,Cartão de Crédito,Florianópolis,SC,Entregue
122,2025-11-13,1136,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1700.27,0.0,36.97,1737.24,App,Cartão de Crédito,Campinas,SP,Entregue
123,2025-07-09,1039,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,123.33,0.0,29.11,152.44,Site,Cartão de Crédito,Belo Horizonte,MG,Cancelado
124,2025-11-08,1017,107,Headset Gamer H7,Áudio,SoundBit,4,290.26,0.0,18.71,1179.75,Site,Pix,Recife,PE,Entregue
125,2025-06-09,1352,112,Webcam HD Pro,Acessórios,VisionCam,4,226.66,0.0,0.61,907.25,Site,Pix,Curitiba,PR,Faturado
126,2025-05-29,1059,111,Tablet T10,Tablet,MobiOne,1,1532.85,76.64,2.15,1458.36,App,Cartão de Crédito,Florianópolis,SC,Entregue
127,2025-02-16,1037,111,Tablet T10,Tablet,MobiOne,2,1437.81,0.0,48.37,2923.99,Site,Cartão de Crédito,Rio de Janeiro,RJ,Entregue
128,2025-05-23,1064,105,Monitor 24 Full HD,Monitores,ViewTop,2,993.97,0.0,10.82,1998.76,Marketplace,Boleto,Florianópolis,SC,Entregue
129,2025-01-12,1277,105,Monitor 24 Full HD,Monitores,ViewTop,2,1085.51,173.68,19.17,2016.51,Marketplace,Pix,Salvador,BA,Cancelado
130,2025-12-24,1377,102,Notebook Air 13,Notebook,TechMax,1,3461.88,0.0,47.43,3509.31,Marketplace,Boleto,Florianópolis,SC,Entregue
131,2025-03-31,1346,105,Monitor 24 Full HD,Monitores,ViewTop,1,1087.3,0.0,9.39,1096.69,App,Boleto,São Paulo,SP,Entregue
132,2025-01-28,1241,101,Notebook Pro 14,Notebook,TechMax,1,4030.26,0.0,11.45,4041.71,App,Boleto,Curitiba,PR,Entregue
133,2025-08-28,1224,108,Caixa de Som Mini,Áudio,SoundBit,1,171.83,5.15,30.08,196.76,App,Pix,Curitiba,PR,Cancelado
134,2025-02-04,1171,102,Notebook Air 13,Notebook,TechMax,2,3665.25,366.52,6.65,6970.63,Marketplace,Boleto,Recife,PE,Entregue
135,2025-10-13,1356,102,Notebook Air 13,Notebook,TechMax,2,3733.55,0.0,4.13,7471.23,Marketplace,Pix,Rio de Janeiro,RJ,Entregue
136,2025-01-05,1046,111,Tablet T10,Tablet,MobiOne,1,1557.06,0.0,27.52,1584.58,Marketplace,Pix,Salvador,BA,Entregue
137,2025-08-27,1423,106,Monitor 27 QHD,Monitores,ViewTop,3,1643.93,0.0,23.97,4955.76,Site,Boleto,Campinas,SP,Cancelado
138,2025-10-09,1097,109,Smartphone S12,Smartphone,MobiOne,3,2366.13,0.0,18.8,7117.19,App,Pix,Recife,PE,Faturado
139,2025-04-08,1105,110,Smartphone S12 Lite,Smartphone,MobiOne,4,1820.51,0.0,28.4,7310.44,Marketplace,Boleto,Recife,PE,Faturado
140,2025-11-07,1063,103,Mouse Sem Fio X1,Periféricos,ClickGo,4,119.48,0.0,20.7,498.62,Site,Boleto,Curitiba,PR,Entregue
141,2025-01-23,1283,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1813.22,90.66,49.73,1772.29,Site,Boleto,Belo Horizonte,MG,Entregue
142,2025-07-21,1237,107,Headset Gamer H7,Áudio,SoundBit,1,284.23,14.21,36.23,306.25,Site,Boleto,Campinas,SP,Faturado
143,2025-01-01,1362,103,Mouse Sem Fio X1,Periféricos,ClickGo,2,117.3,18.77,10.23,226.06,Marketplace,Pix,Recife,PE,Cancelado
144,2025-09-17,1283,108,Caixa de Som Mini,Áudio,SoundBit,1,195.92,0.0,13.71,209.63,Site,Pix,Recife,PE,Entregue
145,2025-03-13,1142,104,Teclado Mecânico K80,Periféricos,ClickGo,1,362.45,0.0,17.87,380.32,Marketplace,Pix,Florianópolis,SC,Faturado
146,2025-04-28,1372,109,Smartphone S12,Smartphone,MobiOne,1,2265.04,0.0,24.86,2289.9,Marketplace,Boleto,Curitiba,PR,Entregue
147,2025-08-10,1276,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1743.65,0.0,27.54,1771.19,Marketplace,Pix,Recife,PE,Entregue
148,2025-04-22,1165,106,Monitor 27 QHD,Monitores,ViewTop,3,1723.66,0.0,20.13,5191.11,Site,Boleto,Goiânia,GO,Entregue
149,2025-03-07,1439,104,Teclado Mecânico K80,Periféricos,ClickGo,3,304.35,45.65,30.95,898.35,Marketplace,Cartão de Crédito,Florianópolis,SC,Entregue
150,2025-07-11,1340,106,Monitor 27 QHD,Monitores,ViewTop,3,1595.96,0.0,10.63,4798.51,App,Cartão de Crédito,Recife,PE,Entregue
151,2025-11-04,1303,108,Caixa de Som Mini,Áudio,SoundBit,1,173.56,0.0,4.54,178.1,Marketplace,Cartão de Crédito,São Paulo,SP,Cancelado
152,2025-12-01,1370,108,Caixa de Som Mini,Áudio,SoundBit,4,203.72,0.0,25.65,840.53,Site,Pix,Campinas,SP,Faturado
153,2025-10-12,1401,111,Tablet T10,Tablet,MobiOne,1,1568.07,0.0,34.81,1602.88,Marketplace,Pix,Rio de Janeiro,RJ,Entregue
154,2025-11-26,1437,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1666.48,49.99,22.92,1639.41,App,Boleto,Salvador,BA,Entregue
155,2025-08-23,1019,107,Headset Gamer H7,Áudio,SoundBit,4,281.79,0.0,16.4,1143.56,App,Cartão de Crédito,Porto Alegre,RS,Cancelado
156,2025-04-21,1223,104,Teclado Mecânico K80,Periféricos,ClickGo,1,341.58,0.0,11.98,353.56,Site,Boleto,Curitiba,PR,Faturado
157,2025-07-14,1356,112,Webcam HD Pro,Acessórios,VisionCam,4,245.68,0.0,44.75,1027.47,Marketplace,Cartão de Crédito,Campinas,SP,Entregue
158,2025-03-02,1184,101,Notebook Pro 14,Notebook,TechMax,1,4302.41,0.0,33.31,4335.72,Marketplace,Pix,Porto Alegre,RS,Entregue
159,2025-11-22,1350,103,Mouse Sem Fio X1,Periféricos,ClickGo,3,116.82,17.52,1.59,334.53,Site,Cartão de Crédito,Belo Horizonte,MG,Cancelado
160,2025-01-12,1350,103,Mouse Sem Fio X1,Periféricos,ClickGo,3,115.24,0.0,26.67,372.39,Site,Pix,Campinas,SP,Cancelado
161,2025-03-14,1327,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1740.45,139.24,16.47,1617.68,Marketplace,Pix,Rio de Janeiro,RJ,Entregue
162,2025-05-01,1347,105,Monitor 24 Full HD,Monitores,ViewTop,4,921.3,0.0,39.89,3725.09,App,Cartão de Crédito,São Paulo,SP,Entregue
163,2025-03-02,1154,102,Notebook Air 13,Notebook,TechMax,2,3622.05,0.0,45.95,7290.05,App,Pix,Recife,PE,Cancelado
164,2025-09-14,1102,112,Webcam HD Pro,Acessórios,VisionCam,4,285.65,0.0,13.82,1156.42,Marketplace,Pix,Curitiba,PR,Entregue
165,2025-05-07,1184,102,Notebook Air 13,Notebook,TechMax,3,3632.67,326.94,10.45,10581.52,App,Pix,Belo Horizonte,MG,Cancelado
166,2025-01-28,1141,112,Webcam HD Pro,Acessórios,VisionCam,1,249.92,19.99,11.78,241.71,Site,Boleto,Curitiba,PR,Entregue
167,2025-07-06,1398,111,Tablet T10,Tablet,MobiOne,4,1404.58,280.92,3.11,5340.51,Site,Boleto,São Paulo,SP,Entregue
168,2025-04-21,1129,106,Monitor 27 QHD,Monitores,ViewTop,1,1469.15,0.0,35.6,1504.75,App,Boleto,Belo Horizonte,MG,Cancelado
169,2025-10-21,1159,111,Tablet T10,Tablet,MobiOne,1,1484.21,44.53,5.35,1445.03,Marketplace,Cartão de Crédito,Rio de Janeiro,RJ,Faturado
170,2025-07-11,1152,110,Smartphone S12 Lite,Smartphone,MobiOne,1,1848.27,0.0,19.82,1868.09,Marketplace,Boleto,Porto Alegre,RS,Faturado
171,2025-09-30,1403,107,Headset Gamer H7,Áudio,SoundBit,1,269.41,0.0,28.14,297.55,App,Pix,Rio de Janeiro,RJ,Entregue
172,2025-10-27,1132,109,Smartphone S12,Smartphone,MobiOne,2,2229.33,356.69,16.34,4118.31,Marketplace,Pix,Goiânia,GO,Entregue
173,2025-03-08,1039,112,Webcam HD Pro,Acessórios,VisionCam,1,250.87,0.0,33.89,284.76,Site,Cartão de Crédito,Porto Alegre,RS,Entregue
